year_published,latest,possibly_extinct,possibly_extinct_in_the_wild,sis_taxon_id,url,taxon_scientific_name,red_list_category_code,assessment_id,kingdom,phylum,class,order,family,genus,species,scope_description,endemicEU,RealAssessmentYN,Comments
1988,FALSE,FALSE,FALSE,19156,https://www.iucnredlist.org/species/19156/8845462,Rana latastei,VU,8845462,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,latastei,Europe; Global,Y,Y,
1986,FALSE,FALSE,FALSE,19156,https://www.iucnredlist.org/species/19156/8845496,Rana latastei,VU,8845496,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,latastei,Europe; Global,Y,Y,
2024,TRUE,FALSE,FALSE,173103952,https://www.iucnredlist.org/species/173103952/227232549,Rana parvipalmata,LC,227232549,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,parvipalmata,Europe; Global,N,Y,
2022,FALSE,FALSE,FALSE,173103952,https://www.iucnredlist.org/species/173103952/202054420,Rana parvipalmata,LC,202054420,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,parvipalmata,Europe; Global,N,Y,
2024,TRUE,FALSE,FALSE,19183,https://www.iucnredlist.org/species/19183/227233345,Rana pyrenaica,EN,227233345,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,pyrenaica,Europe; Global,Y,Y,
2020,FALSE,FALSE,FALSE,19183,https://www.iucnredlist.org/species/19183/89697250,Rana pyrenaica,EN,89697250,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,pyrenaica,Europe; Global,Y,Y,
2009,FALSE,FALSE,FALSE,19183,https://www.iucnredlist.org/species/19183/8849239,Rana pyrenaica,EN,8849239,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,pyrenaica,Europe; Global,Y,Y,
2006,FALSE,FALSE,FALSE,19183,https://www.iucnredlist.org/species/19183/8849416,Rana pyrenaica,EN,8849416,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,pyrenaica,Europe; Global,Y,Y,
2004,FALSE,FALSE,FALSE,19183,https://www.iucnredlist.org/species/19183/8849193,Rana pyrenaica,VU,8849193,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,pyrenaica,Europe; Global,Y,Y,
1996,FALSE,FALSE,FALSE,19183,https://www.iucnredlist.org/species/19183/8849219,Rana pyrenaica,DD,8849219,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Rana,pyrenaica,Europe; Global,Y,Y,
